Energy(eV),Transmission
-8.000000000000000000e+00,4.795698731708939789e-14
-7.900000000000000355e+00,1.747257023928507567e-10
-7.800000000000000711e+00,5.296041517070219917e-02
-7.700000000000001066e+00,8.228920205829974854e-01
-7.600000000000001421e+00,9.405706322698713651e-01
-7.500000000000001776e+00,9.612903923629676495e-01
-7.400000000000002132e+00,9.548508387069720715e-01
-7.300000000000002487e+00,9.616990491013241993e-01
-7.200000000000002842e+00,1.747511622588050040e+00
-7.100000000000003197e+00,1.842364021195362467e+00
-7.000000000000003553e+00,1.884989445429014365e+00
-6.900000000000003908e+00,1.905420607240457587e+00
-6.800000000000004263e+00,1.915212959930439940e+00
-6.700000000000004619e+00,1.931263676244066474e+00
-6.600000000000004974e+00,1.946784185459243810e+00
-6.500000000000005329e+00,1.946177483012931475e+00
-6.400000000000005684e+00,1.930674039702811706e+00
-6.300000000000006040e+00,1.898177217827430097e+00
-6.200000000000006395e+00,2.580165079689430208e+00
-6.100000000000006750e+00,2.760559242195651741e+00
-6.000000000000007105e+00,2.813211041938641355e+00
-5.900000000000007461e+00,2.820581003857392410e+00
-5.800000000000007816e+00,2.718830419046233349e+00
-5.700000000000008171e+00,2.606520908893890986e+00
-5.600000000000008527e+00,2.558674455989132124e+00
-5.500000000000008882e+00,2.579056119714735029e+00
-5.400000000000009237e+00,2.624558452184720725e+00
-5.300000000000009592e+00,2.631162306534798656e+00
-5.200000000000009948e+00,2.565411752496338682e+00
-5.100000000000010303e+00,2.438571584822360805e+00
-5.000000000000010658e+00,2.314792945371164645e+00
-4.900000000000011013e+00,3.202904495756527137e+00
-4.800000000000011369e+00,3.253115872121524976e+00
-4.700000000000011724e+00,3.423769975348214256e+00
-4.600000000000012079e+00,3.527021062064270129e+00
-4.500000000000012434e+00,3.663036419531214172e+00
-4.400000000000012790e+00,3.759147596908257949e+00
-4.300000000000013145e+00,3.736494876891407468e+00
-4.200000000000013500e+00,3.648522631139773598e+00
-4.100000000000013856e+00,3.584337004737590870e+00
-4.000000000000014211e+00,3.586831605934912570e+00
-3.900000000000014566e+00,3.651953452038897652e+00
-3.800000000000014921e+00,3.746516514563019040e+00
-3.700000000000015277e+00,3.825459915730109461e+00
-3.600000000000015632e+00,3.859907006760928905e+00
-3.500000000000015987e+00,3.616375818797068931e+00
-3.400000000000016342e+00,4.286775953619952340e+00
-3.300000000000016698e+00,4.468534595469351167e+00
-3.200000000000017053e+00,4.514266001783372673e+00
-3.100000000000017408e+00,4.544523509747902423e+00
-3.000000000000017764e+00,4.565110601906042120e+00
-2.900000000000018119e+00,4.624654999870503325e+00
-2.800000000000018474e+00,4.663734621636579369e+00
-2.700000000000018829e+00,4.628245637625965969e+00
-2.600000000000019185e+00,4.584347312227655458e+00
-2.500000000000019540e+00,4.326460474606488305e+00
-2.400000000000019895e+00,3.670482982759727619e+00
-2.300000000000020250e+00,3.737333327682724970e+00
-2.200000000000020606e+00,3.685121110723772020e+00
-2.100000000000020961e+00,3.695243705853557881e+00
-2.000000000000021316e+00,3.590394309426451880e+00
-1.900000000000021672e+00,2.730387751206627023e+00
-1.800000000000022027e+00,1.851747986822814829e+00
-1.700000000000022382e+00,1.969579846984708782e+00
-1.600000000000022737e+00,1.970886042322699927e+00
-1.500000000000023093e+00,1.971718677138202036e+00
-1.400000000000023448e+00,1.971456302142077233e+00
-1.300000000000023803e+00,1.969258948151416666e+00
-1.200000000000024158e+00,1.965490038031100006e+00
-1.100000000000024514e+00,1.961381089371788011e+00
-1.000000000000024869e+00,1.954895383303888456e+00
-9.000000000000252243e-01,1.915349134213544247e+00
-8.000000000000255795e-01,9.890697999612531044e-01
-7.000000000000259348e-01,9.836800068515308970e-01
-6.000000000000262901e-01,9.506240460473659448e-01
-5.000000000000266454e-01,7.851939885518427475e-01
-4.000000000000270006e-01,3.053612149110505187e-07
-3.000000000000273559e-01,4.847763516844721397e-09
-2.000000000000277112e-01,9.103775997997991034e-10
-1.000000000000280664e-01,4.050071251098864921e-10
-2.842170943040400743e-14,3.161765055521686814e-10
9.999999999997122302e-02,4.050071251097631388e-10
1.999999999999708677e-01,9.103775998158298637e-10
2.999999999999705125e-01,4.847763516838191633e-09
3.999999999999701572e-01,3.053612149096412147e-07
4.999999999999698019e-01,7.851939885515948347e-01
5.999999999999694467e-01,9.506240460473321940e-01
6.999999999999690914e-01,9.836800068515231255e-01
7.999999999999687361e-01,9.890697999612561020e-01
8.999999999999683808e-01,1.915349134213483406e+00
9.999999999999680256e-01,1.954895383303880241e+00
1.099999999999967670e+00,1.961381089371788011e+00
1.199999999999967315e+00,1.965490038031098230e+00
1.299999999999966960e+00,1.969258948151421551e+00
1.399999999999966604e+00,1.971456302142083894e+00
1.499999999999966249e+00,1.971718677138206699e+00
1.599999999999965894e+00,1.970886042322700815e+00
1.699999999999965539e+00,1.969579846984709892e+00
1.799999999999965183e+00,1.851747986823345293e+00
1.899999999999964828e+00,2.730387751207222991e+00
1.999999999999964473e+00,3.590394309426280905e+00
2.099999999999964118e+00,3.695243705853526794e+00
2.199999999999963762e+00,3.685121110723695192e+00
2.299999999999963407e+00,3.737333327682685447e+00
2.399999999999963052e+00,3.670482982760381763e+00
2.499999999999962697e+00,4.326460474605752005e+00
2.599999999999962341e+00,4.584347312227642135e+00
2.699999999999961986e+00,4.628245637625932218e+00
2.799999999999961631e+00,4.663734621636595357e+00
2.899999999999961275e+00,4.624654999871052219e+00
2.999999999999960920e+00,4.565110601906458676e+00
3.099999999999960565e+00,4.544523509747907752e+00
3.199999999999960210e+00,4.514266001783422411e+00
3.299999999999959854e+00,4.468534595469316528e+00
3.399999999999959499e+00,4.286775953621368984e+00
3.499999999999959144e+00,3.616375818797345598e+00
3.599999999999958789e+00,3.859907006760583847e+00
3.699999999999958433e+00,3.825459915730140104e+00
3.799999999999958078e+00,3.746516514563056344e+00
3.899999999999957723e+00,3.651953452039011339e+00
3.999999999999957367e+00,3.586831605934941436e+00
4.099999999999957012e+00,3.584337004737583765e+00
4.199999999999956657e+00,3.648522631139725192e+00
4.299999999999956302e+00,3.736494876891376826e+00
4.399999999999955946e+00,3.759147596908280597e+00
4.499999999999955591e+00,3.663036419531604082e+00
4.599999999999955236e+00,3.527021062064279899e+00
4.699999999999954881e+00,3.423769975348284422e+00
4.799999999999954525e+00,3.253115872121627561e+00
4.899999999999954170e+00,3.202904495756604408e+00
4.999999999999953815e+00,2.314792945370502064e+00
5.099999999999953459e+00,2.438571584822162297e+00
5.199999999999953104e+00,2.565411752496273845e+00
5.299999999999952749e+00,2.631162306534776452e+00
5.399999999999952394e+00,2.624558452184740709e+00
5.499999999999952038e+00,2.579056119714694173e+00
5.599999999999951683e+00,2.558674455989129015e+00
5.699999999999951328e+00,2.606520908893847466e+00
5.799999999999950973e+00,2.718830419046158298e+00
5.899999999999950617e+00,2.820581003857365765e+00
5.999999999999950262e+00,2.813211041938682211e+00
6.099999999999949907e+00,2.760559242195979035e+00
6.199999999999949551e+00,2.580165079688819141e+00
6.299999999999949196e+00,1.898177217827134555e+00
6.399999999999948841e+00,1.930674039702799716e+00
6.499999999999948486e+00,1.946177483012810461e+00
6.599999999999948130e+00,1.946784185459253802e+00
6.699999999999947775e+00,1.931263676245595029e+00
6.799999999999947420e+00,1.915212959930447933e+00
6.899999999999947065e+00,1.905420607240464470e+00
6.999999999999946709e+00,1.884989445429032795e+00
7.099999999999946354e+00,1.842364021195411095e+00
7.199999999999945999e+00,1.747511622588214353e+00
7.299999999999945643e+00,9.616990491013116538e-01
7.399999999999945288e+00,9.548508387069791770e-01
7.499999999999944933e+00,9.612903923629511072e-01
7.599999999999944578e+00,9.405706322699417532e-01
7.699999999999944222e+00,8.228920205830267953e-01
7.799999999999943867e+00,5.296041517086498562e-02
7.899999999999943512e+00,1.747257023943891575e-10
