Energy(eV),Transmission
-3.000000000000000444e+00,1.307194906604267721e-15
-2.969849246231155870e+00,7.632822335446107884e-14
-2.939698492462311741e+00,5.023477428224789998e-10
-2.909547738693467167e+00,1.122632879380491278e-01
-2.879396984924623037e+00,4.034699313212872229e-01
-2.849246231155778908e+00,3.838386635708997408e-01
-2.819095477386934778e+00,6.423238600173102331e-01
-2.788944723618090649e+00,8.198620816152755175e-01
-2.758793969849246075e+00,8.625232498561086203e-01
-2.728643216080401945e+00,8.093895008369234034e-01
-2.698492462311557816e+00,4.410235802445482967e-01
-2.668341708542713686e+00,1.560159810481792420e+00
-2.638190954773869557e+00,1.705870196659768689e+00
-2.608040201005024983e+00,1.741021343093177798e+00
-2.577889447236180853e+00,1.750626682868369199e+00
-2.547738693467336724e+00,1.747530387566486043e+00
-2.517587939698492594e+00,1.751957135370688867e+00
-2.487437185929648464e+00,1.775421576821760938e+00
-2.457286432160803891e+00,1.812012994230965290e+00
-2.427135678391959761e+00,1.844460664962232599e+00
-2.396984924623115631e+00,1.850997826261974399e+00
-2.366834170854271502e+00,1.703335860757428266e+00
-2.336683417085427372e+00,1.818336431326569302e+00
-2.306532663316582799e+00,2.140888885103573891e+00
-2.276381909547738669e+00,2.644702960352083743e+00
-2.246231155778894539e+00,2.644188745375973593e+00
-2.216080402010050410e+00,2.650018284253533807e+00
-2.185929648241206280e+00,2.609471100451972170e+00
-2.155778894472361706e+00,2.524437838557180847e+00
-2.125628140703517577e+00,2.445337840033825483e+00
-2.095477386934673447e+00,2.408126917429514346e+00
-2.065326633165829318e+00,2.419733999328819607e+00
-2.035175879396985188e+00,2.464072253473650775e+00
-2.005025125628140614e+00,2.506044560576980107e+00
-1.974874371859296707e+00,2.497399734050985920e+00
-1.944723618090452355e+00,2.363319786003571288e+00
-1.914572864321608003e+00,1.947907017421414588e+00
-1.884422110552763874e+00,2.347071582563424741e+00
-1.854271356783919744e+00,2.193457099393267828e+00
-1.824120603015075615e+00,2.632538225243480134e+00
-1.793969849246231263e+00,2.826420013253280406e+00
-1.763819095477386911e+00,3.098387014959877117e+00
-1.733668341708542782e+00,3.316420037997498405e+00
-1.703517587939698874e+00,3.424015640713035769e+00
-1.673366834170854078e+00,3.477528086606960223e+00
-1.643216080402010171e+00,3.492725807769621049e+00
-1.613065326633166041e+00,3.475048899996414420e+00
-1.582914572864321689e+00,3.435123231721264325e+00
-1.552763819095477338e+00,3.393379264289190012e+00
-1.522613065326633208e+00,3.373081938848411010e+00
-1.492462311557789079e+00,3.386571553402643264e+00
-1.462311557788944727e+00,3.431731945974981990e+00
-1.432160804020100597e+00,3.495658746172749520e+00
-1.402010050251256246e+00,3.559097571091813350e+00
-1.371859296482412116e+00,3.601649624980294284e+00
-1.341708542713567986e+00,3.602577583419086515e+00
-1.311557788944723635e+00,3.441800287739229525e+00
-1.281407035175879505e+00,3.726174028328087751e+00
-1.251256281407035154e+00,4.162002900802810323e+00
-1.221105527638191024e+00,4.273369921101065394e+00
-1.190954773869346894e+00,4.253263955547547326e+00
-1.160804020100502543e+00,4.247786835908917702e+00
-1.130653266331658413e+00,4.303667017776649395e+00
-1.100502512562814061e+00,4.380624105018806169e+00
-1.070351758793969932e+00,4.415327664610709135e+00
-1.040201005025125802e+00,4.416621918894438892e+00
-1.010050251256281451e+00,4.405368434180578774e+00
-9.798994974874370989e-01,4.387670657225209325e+00
-9.497487437185930803e-01,4.369531665673821230e+00
-9.195979899497487287e-01,3.702926023177455672e+00
-8.894472361809045990e-01,3.610472889166341126e+00
-8.592964824120605805e-01,3.681187685956177624e+00
-8.291457286432158957e-01,3.638173950784904243e+00
-7.989949748743718771e-01,3.590407966349153046e+00
-7.688442211055277475e-01,3.568062312313074802e+00
-7.386934673366836179e-01,3.392085102049068990e+00
-7.085427135678394883e-01,2.605284236658342856e+00
-6.783919597989949146e-01,1.895122556864291319e+00
-6.482412060301507850e-01,1.947214086922340659e+00
-6.180904522613066554e-01,1.950428223299208508e+00
-5.879396984924625258e-01,1.946535445895447358e+00
-5.577889447236183962e-01,1.943078425736778581e+00
-5.276381909547738225e-01,1.939565746759935427e+00
-4.974874371859297484e-01,1.935754052940508396e+00
-4.673366834170855078e-01,1.931875984562598569e+00
-4.371859296482414337e-01,1.928581811459569195e+00
-4.070351758793973040e-01,1.926252740050968137e+00
-3.768844221105527303e-01,1.922951663664786537e+00
-3.467336683417086007e-01,1.906410080835024612e+00
-3.165829145728644711e-01,1.736478581966425017e+00
-2.864321608040203415e-01,9.712924279932266813e-01
-2.562814070351762119e-01,9.744771852854928751e-01
-2.261306532663316660e-01,9.650475881184439331e-01
-1.959798994974875086e-01,9.222766583943781127e-01
-1.658291457286433790e-01,4.411786458470609573e-03
-1.356783919597992494e-01,2.732949058586512805e-08
-1.055276381909546757e-01,2.783945467921538695e-09
-7.537688442211054607e-02,8.342644416359744483e-10
-4.522613065326641646e-02,4.309408895987313732e-10
-1.507537688442228685e-02,3.270519282329188601e-10
1.507537688442184276e-02,3.462837441547622436e-10
4.522613065326641646e-02,5.158430261524103296e-10
7.537688442211054607e-02,1.165396564780101095e-09
1.055276381909546757e-01,4.979209958708613942e-09
1.356783919597988053e-01,1.343963152389608816e-06
1.658291457286429349e-01,3.591905325106299466e-04
1.959798994974875086e-01,7.512813002690861275e-01
2.261306532663316660e-01,8.907013022870119423e-01
2.562814070351757678e-01,9.392298533885204970e-01
2.864321608040198974e-01,9.555855863563172958e-01
3.165829145728640270e-01,1.715106366033660512e+00
3.467336683417086007e-01,1.909213345190557964e+00
3.768844221105527303e-01,1.930354686354348814e+00
4.070351758793969155e-01,1.932287775219010628e+00
4.371859296482409896e-01,1.929102226479148419e+00
4.673366834170851192e-01,1.923684221992821408e+00
4.974874371859297484e-01,1.916736562439919966e+00
5.276381909547738225e-01,1.908693987158751382e+00
5.577889447236179521e-01,1.899783827848810169e+00
5.879396984924620817e-01,1.888774044465056923e+00
6.180904522613062113e-01,1.866129687805800463e+00
6.482412060301507850e-01,1.657622398779119210e+00
6.783919597989949146e-01,1.740135501550708286e+00
7.085427135678390442e-01,2.568039982761832096e+00
7.386934673366831738e-01,3.430657373180662884e+00
7.688442211055274145e-01,3.442768869221425554e+00
7.989949748743718771e-01,3.485965931839747345e+00
8.291457286432158957e-01,3.528638722893427726e+00
8.592964824120602474e-01,3.486980340801433709e+00
8.894472361809043770e-01,3.284993990380255635e+00
9.195979899497483956e-01,3.754022282761236173e+00
9.497487437185930803e-01,4.408277524588430474e+00
9.798994974874370989e-01,4.418890636141104444e+00
1.010050251256281229e+00,4.405323591042386688e+00
1.040201005025125802e+00,4.411419348979988442e+00
1.070351758793969488e+00,4.440352152223606907e+00
1.100502512562814061e+00,4.458585287566631195e+00
1.130653266331657747e+00,4.438624636108259303e+00
1.160804020100502321e+00,4.381156206547815124e+00
1.190954773869346894e+00,4.305592281121053411e+00
1.221105527638190580e+00,4.235838897838429595e+00
1.251256281407035154e+00,4.114764949120118587e+00
1.281407035175878839e+00,3.788461604643849512e+00
1.311557788944723413e+00,3.774853590568679085e+00
1.341708542713567986e+00,3.760710970702712874e+00
1.371859296482411672e+00,3.716306544531526423e+00
1.402010050251256246e+00,3.653755362310980637e+00
1.432160804020099931e+00,3.588911680260353343e+00
1.462311557788944505e+00,3.540130762499165584e+00
1.492462311557789079e+00,3.520340256894463948e+00
1.522613065326632764e+00,3.532640697517789974e+00
1.552763819095477338e+00,3.564284451580577162e+00
1.582914572864321023e+00,3.581774649564292812e+00
1.613065326633165597e+00,3.546296031856347675e+00
1.643216080402010171e+00,3.451746048465093253e+00
1.673366834170853856e+00,3.336936207300571944e+00
1.703517587939698430e+00,3.253491671725489809e+00
1.733668341708542115e+00,3.221023376990594045e+00
1.763819095477386689e+00,3.177349554949649768e+00
1.793969849246231263e+00,3.053857224181685925e+00
1.824120603015074948e+00,2.542618619172421379e+00
1.854271356783919522e+00,2.161484979064362655e+00
1.884422110552763208e+00,2.401977135490407811e+00
1.914572864321607781e+00,2.501866986518074043e+00
1.944723618090452355e+00,2.576549647809118770e+00
1.974874371859296041e+00,2.617681900257228911e+00
2.005025125628140614e+00,2.618475717892268850e+00
2.035175879396984300e+00,2.598671662923857539e+00
2.065326633165828873e+00,2.589348811579232024e+00
2.095477386934673447e+00,2.613770233070634053e+00
2.125628140703517133e+00,2.675100995598567177e+00
2.155778894472361706e+00,2.751537040424845149e+00
2.185929648241205392e+00,2.801989423114124911e+00
2.216080402010049966e+00,2.791950638176152744e+00
2.246231155778894539e+00,2.745504024386987485e+00
2.276381909547738225e+00,2.719215098040317358e+00
2.306532663316582799e+00,2.125559822242361729e+00
2.336683417085426484e+00,1.806342158160217704e+00
2.366834170854271058e+00,1.836495438287994109e+00
2.396984924623115631e+00,1.890584501022776642e+00
2.427135678391959317e+00,1.897597635003370753e+00
2.457286432160803891e+00,1.893444283133245420e+00
2.487437185929647576e+00,1.884930444655873005e+00
2.517587939698492150e+00,1.877489673270023030e+00
2.547738693467336724e+00,1.864985628879930690e+00
2.577889447236180409e+00,1.834144809235408236e+00
2.608040201005024983e+00,1.786640553551883448e+00
2.638190954773868668e+00,1.746668979589895754e+00
2.668341708542713242e+00,1.690151320296381821e+00
2.698492462311557816e+00,9.389190580217376958e-01
2.728643216080401501e+00,9.117391649538431064e-01
2.758793969849246075e+00,8.839844471932651881e-01
2.788944723618090649e+00,9.044128083706743926e-01
2.819095477386934334e+00,9.308467025703005548e-01
2.849246231155778908e+00,7.795633785260089876e-01
2.879396984924622593e+00,9.609297608287682702e-02
2.909547738693467167e+00,4.322347696002329376e-03
2.939698492462311741e+00,2.736071662203051675e-12
2.969849246231155870e+00,1.423159363628233513e-14
3.000000000000000444e+00,3.531614648191815298e-16
