Energy(eV),Transmission
-3.000000000000000444e+00,7.397097811294329481e-16
-2.969849246231155870e+00,3.339789353825515228e-14
-2.939698492462311741e+00,7.369752298058928897e-12
-2.909547738693467167e+00,1.023155250015686871e-02
-2.879396984924623037e+00,6.732563627776784188e-01
-2.849246231155778908e+00,4.963372996131975023e-01
-2.819095477386934778e+00,7.146202193771169497e-01
-2.788944723618090649e+00,8.503716200177927620e-01
-2.758793969849246075e+00,8.224964044036652266e-01
-2.728643216080401945e+00,4.512345881593619601e-01
-2.698492462311557816e+00,8.665097698013667360e-01
-2.668341708542713686e+00,1.379665689603482681e+00
-2.638190954773869557e+00,1.557000246193889659e+00
-2.608040201005024983e+00,1.598870158718511236e+00
-2.577889447236180853e+00,1.609142493801620999e+00
-2.547738693467336724e+00,1.616855408838479002e+00
-2.517587939698492594e+00,1.630363565617459543e+00
-2.487437185929648464e+00,1.653211936017777273e+00
-2.457286432160803891e+00,1.674272932689866655e+00
-2.427135678391959761e+00,1.655967679428509420e+00
-2.396984924623115631e+00,1.438655628634942119e+00
-2.366834170854271502e+00,1.612594124825684760e+00
-2.336683417085427372e+00,1.872773010080409861e+00
-2.306532663316582799e+00,2.128455998108083946e+00
-2.276381909547738669e+00,2.305217416379985007e+00
-2.246231155778894539e+00,2.377874901494248849e+00
-2.216080402010050410e+00,2.484273538078686006e+00
-2.185929648241206280e+00,2.542108666858152066e+00
-2.155778894472361706e+00,2.521745419319326942e+00
-2.125628140703517577e+00,2.458736099221495053e+00
-2.095477386934673447e+00,2.394531886634135631e+00
-2.065326633165829318e+00,2.349648929794803554e+00
-2.035175879396985188e+00,2.328390851674691842e+00
-2.005025125628140614e+00,2.322467918430245248e+00
-1.974874371859296707e+00,2.310513667012394023e+00
-1.944723618090452355e+00,2.269389232802367040e+00
-1.914572864321608003e+00,2.184664854412381008e+00
-1.884422110552763874e+00,1.925033103770475096e+00
-1.854271356783919744e+00,2.117120449832986750e+00
-1.824120603015075615e+00,2.811373697213858769e+00
-1.793969849246231263e+00,2.940075451246964455e+00
-1.763819095477386911e+00,3.129821095990400703e+00
-1.733668341708542782e+00,3.296076195192829239e+00
-1.703517587939698874e+00,3.395926335517499783e+00
-1.673366834170854078e+00,3.476942457479763604e+00
-1.643216080402010171e+00,3.523765325132468540e+00
-1.613065326633166041e+00,3.519082736353977836e+00
-1.582914572864321689e+00,3.477023449634300434e+00
-1.552763819095477338e+00,3.427809678116068071e+00
-1.522613065326633208e+00,3.400628086527649252e+00
