Energy(eV),Transmission
-8.000000000000000000e+00,6.837270093621621832e-23
-7.900000000000000355e+00,1.512279620235441191e-20
-7.800000000000000711e+00,1.565380755613144258e-13
-7.700000000000001066e+00,1.015212750112168645e-12
-7.600000000000001421e+00,4.204654903940108708e-12
-7.500000000000001776e+00,1.264628492057515375e-11
-7.400000000000002132e+00,3.071295849764328001e-11
-7.300000000000002487e+00,7.634361072281573355e-11
-7.200000000000002842e+00,1.557374053795084610e-09
-7.100000000000003197e+00,5.961101697568234320e-09
-7.000000000000003553e+00,2.156843894454588050e-08
-6.900000000000003908e+00,8.304633024090658004e-08
-6.800000000000004263e+00,3.876326457839103549e-07
-6.700000000000004619e+00,2.949557033296478459e-06
-6.600000000000004974e+00,2.021191471749530372e-03
-6.500000000000005329e+00,1.288436746485467632e-02
-6.400000000000005684e+00,1.199348935399232501e-03
-6.300000000000006040e+00,1.111904266151693549e-01
-6.200000000000006395e+00,7.908970803211082257e-02
-6.100000000000006750e+00,1.385382917953837945e-01
-6.000000000000007105e+00,5.455143496938495984e-01
-5.900000000000007461e+00,5.214969090046858158e-01
-5.800000000000007816e+00,3.905596924756437605e-01
-5.700000000000008171e+00,2.875154296520795461e-01
-5.600000000000008527e+00,2.868065401375627932e-01
-5.500000000000008882e+00,3.310190391660194353e-01
-5.400000000000009237e+00,4.092098276738622697e-01
-5.300000000000009592e+00,3.492591267981918213e-01
-5.200000000000009948e+00,4.038075820193732790e-01
-5.100000000000010303e+00,5.919232543737108498e-01
-5.000000000000010658e+00,7.514647814709819462e-01
-4.900000000000011013e+00,5.410749895693244271e-01
-4.800000000000011369e+00,7.689770407961664667e-01
-4.700000000000011724e+00,8.034373909265994929e-01
-4.600000000000012079e+00,8.890942712246728830e-01
-4.500000000000012434e+00,4.813643647368378020e-01
-4.400000000000012790e+00,1.720513952364661481e-01
-4.300000000000013145e+00,7.376264344588823185e-02
-4.200000000000013500e+00,2.296010125834206106e-01
-4.100000000000013856e+00,6.597078417753101665e-01
-4.000000000000014211e+00,7.652409138990000637e-01
-3.900000000000014566e+00,9.500163904615898103e-01
-3.800000000000014921e+00,9.590164529762756906e-01
-3.700000000000015277e+00,1.314153327422687534e+00
-3.600000000000015632e+00,1.097510526080768711e+00
-3.500000000000015987e+00,9.399911221122672078e-01
-3.400000000000016342e+00,1.004638847801149870e+00
-3.300000000000016698e+00,1.025055097475211952e+00
-3.200000000000017053e+00,1.027742146162808901e+00
-3.100000000000017408e+00,1.080783181020485317e+00
-3.000000000000017764e+00,1.077681957829221382e+00
-2.900000000000018119e+00,1.238055705856290212e+00
-2.800000000000018474e+00,1.197756027453367178e+00
-2.700000000000018829e+00,1.214976398796951518e+00
-2.600000000000019185e+00,1.187145708000399980e+00
-2.500000000000019540e+00,7.966793925947729393e-01
-2.400000000000019895e+00,6.687610920737532272e-01
-2.300000000000020250e+00,7.642192879179861009e-01
-2.200000000000020606e+00,1.017317459400965740e+00
-2.100000000000020961e+00,1.354498348637224625e+00
-2.000000000000021316e+00,1.563266137909393727e+00
-1.900000000000021672e+00,1.687798383289349946e+00
-1.800000000000022027e+00,1.568295752883402061e+00
-1.700000000000022382e+00,1.184389474350944660e+00
-1.600000000000022737e+00,1.042152653208975766e+00
-1.500000000000023093e+00,9.824758506867371510e-01
-1.400000000000023448e+00,9.785705481529154426e-01
-1.300000000000023803e+00,9.899928921433739371e-01
-1.200000000000024158e+00,9.478610858178611043e-01
-1.100000000000024514e+00,8.322993298039105259e-01
-1.000000000000024869e+00,6.944379342095444718e-01
-9.000000000000252243e-01,5.773558963604110694e-01
-8.000000000000255795e-01,4.983085484238309881e-01
-7.000000000000259348e-01,4.613079078838673297e-01
-6.000000000000262901e-01,4.623331939518142697e-01
-5.000000000000266454e-01,5.130009573930233158e-01
-4.000000000000270006e-01,2.237991123862967478e-07
-3.000000000000273559e-01,1.190576465974589769e-08
-2.000000000000277112e-01,1.132311873121425731e-08
-1.000000000000280664e-01,6.869076204743545687e-05
-2.842170943040400743e-14,4.969776052024731094e-09
9.999999999997122302e-02,2.459710305816032278e-09
1.999999999999708677e-01,1.251611840423019239e-06
2.999999999999705125e-01,2.299563424804961097e-07
3.999999999999701572e-01,2.294594275851377870e-09
4.999999999999698019e-01,1.017557838563982499e-02
5.999999999999694467e-01,3.947242583403510335e-02
6.999999999999690914e-01,1.314138485186809313e-01
