Energy(eV),Transmission
-8.000000000000000000e+00,2.061361309758507385e-15
-7.900000000000000355e+00,2.850361470873139406e-12
-7.800000000000000711e+00,2.789957485672356309e-04
-7.700000000000001066e+00,2.892031496333649990e-02
-7.600000000000001421e+00,7.212920384635880255e-01
-7.500000000000001776e+00,9.021635774947633912e-01
-7.400000000000002132e+00,9.355502857648306803e-01
-7.300000000000002487e+00,9.243243581073573578e-01
-7.200000000000002842e+00,9.527377018831332256e-01
-7.100000000000003197e+00,9.623675701924065962e-01
-7.000000000000003553e+00,9.596766157281142462e-01
-6.900000000000003908e+00,9.612319500091602853e-01
-6.800000000000004263e+00,1.007806389631050736e+00
-6.700000000000004619e+00,1.366146260940614976e+00
-6.600000000000004974e+00,1.630252616239123986e+00
-6.500000000000005329e+00,1.687313406219388412e+00
-6.400000000000005684e+00,1.646370065355127643e+00
-6.300000000000006040e+00,1.768405309244610812e+00
-6.200000000000006395e+00,1.822284464478084010e+00
-6.100000000000006750e+00,1.807743991508230064e+00
-6.000000000000007105e+00,1.845252519428231652e+00
-5.900000000000007461e+00,1.870762651659727105e+00
-5.800000000000007816e+00,1.829858933440381197e+00
-5.700000000000008171e+00,1.766925437651916120e+00
-5.600000000000008527e+00,1.731532454029411472e+00
-5.500000000000008882e+00,1.728180917525490745e+00
-5.400000000000009237e+00,1.733205529818383273e+00
-5.300000000000009592e+00,1.742189520406782988e+00
-5.200000000000009948e+00,1.935784754822176046e+00
-5.100000000000010303e+00,1.843449782783930235e+00
-5.000000000000010658e+00,1.927754596165926815e+00
-4.900000000000011013e+00,2.114411950534764717e+00
-4.800000000000011369e+00,2.173961771304633750e+00
-4.700000000000011724e+00,2.295320521388500623e+00
-4.600000000000012079e+00,2.335380591126336114e+00
-4.500000000000012434e+00,2.371700570197590174e+00
-4.400000000000012790e+00,2.445562980584568447e+00
-4.300000000000013145e+00,2.508290612470243097e+00
-4.200000000000013500e+00,2.500202762812350432e+00
-4.100000000000013856e+00,2.447419395267225628e+00
-4.000000000000014211e+00,2.410412660292939879e+00
-3.900000000000014566e+00,2.413815327189788196e+00
-3.800000000000014921e+00,2.459256980891455058e+00
-3.700000000000015277e+00,2.511251276412424627e+00
-3.600000000000015632e+00,2.040406700603023538e+00
-3.500000000000015987e+00,1.924668040039634542e+00
-3.400000000000016342e+00,2.234537395064942977e+00
-3.300000000000016698e+00,2.353149426939672217e+00
-3.200000000000017053e+00,2.671049973569310065e+00
-3.100000000000017408e+00,2.887380769557716498e+00
-3.000000000000017764e+00,2.963573993829974107e+00
-2.900000000000018119e+00,3.032096336126619107e+00
-2.800000000000018474e+00,3.218643758126834342e+00
-2.700000000000018829e+00,3.444909298253844732e+00
-2.600000000000019185e+00,3.588606380141000418e+00
-2.500000000000019540e+00,3.549412284400971007e+00
-2.400000000000019895e+00,3.072983693194144106e+00
-2.300000000000020250e+00,2.733409287905046003e+00
-2.200000000000020606e+00,2.702346563891080855e+00
-2.100000000000020961e+00,2.720087575990569828e+00
-2.000000000000021316e+00,2.463325320909133254e+00
-1.900000000000021672e+00,1.808228240733219527e+00
-1.800000000000022027e+00,1.856575387014631540e+00
-1.700000000000022382e+00,1.759980720600949455e+00
-1.600000000000022737e+00,1.868291116175103461e+00
-1.500000000000023093e+00,1.608336011893260808e+00
-1.400000000000023448e+00,1.130998001023562516e+00
-1.300000000000023803e+00,1.020609622635882729e+00
-1.200000000000024158e+00,9.967535704047800760e-01
-1.100000000000024514e+00,9.887778058835158257e-01
-1.000000000000024869e+00,9.833589481186933989e-01
-9.000000000000252243e-01,9.749349437788441541e-01
-8.000000000000255795e-01,9.577339434677266672e-01
-7.000000000000259348e-01,6.803152977196654794e-01
-6.000000000000262901e-01,2.924615518893880495e-01
-5.000000000000266454e-01,8.450748826762156940e-02
-4.000000000000270006e-01,4.914511186204741852e-09
-3.000000000000273559e-01,5.216230866166099376e-10
-2.000000000000277112e-01,2.778835800181394501e-10
-1.000000000000280664e-01,3.743547913150920541e-10
-2.842170943040400743e-14,1.570728180411395974e-09
9.999999999997122302e-02,1.641150040161602715e-05
1.999999999999708677e-01,1.215420606178164052e-08
2.999999999999705125e-01,3.766815352822535911e-08
3.999999999999701572e-01,2.700810501758218029e-08
4.999999999999698019e-01,6.071564682793141321e-01
5.999999999999694467e-01,1.548235774428023959e-01
6.999999999999690914e-01,8.405362793724583392e-01
7.999999999999687361e-01,8.840283761225673498e-01
8.999999999999683808e-01,1.468743378585107173e+00
9.999999999999680256e-01,1.089718138667990832e+00
1.099999999999967670e+00,1.077349050291244614e+00
1.199999999999967315e+00,1.079221861908603586e+00
1.299999999999966960e+00,1.023651851901842047e+00
1.399999999999966604e+00,1.019823255704138454e+00
1.499999999999966249e+00,1.244198961295567951e+00
1.599999999999965894e+00,1.741728705525256160e+00
1.699999999999965539e+00,1.321736270460958984e+00
1.799999999999965183e+00,1.629093925984271385e+00
1.899999999999964828e+00,1.791392242456685713e+00
1.999999999999964473e+00,1.932171499236523093e+00
2.099999999999964118e+00,1.951593081870556246e+00
2.199999999999963762e+00,1.954851252024493835e+00
2.299999999999963407e+00,1.954098616601080307e+00
2.399999999999963052e+00,2.078173893487813562e+00
2.499999999999962697e+00,2.699014488980542303e+00
2.599999999999962341e+00,2.685887166163130502e+00
2.699999999999961986e+00,2.640416414759432229e+00
2.799999999999961631e+00,3.098869536481986930e+00
2.899999999999961275e+00,2.977152313490164293e+00
2.999999999999960920e+00,2.949101452292028469e+00
3.099999999999960565e+00,2.933327472403835401e+00
3.199999999999960210e+00,2.869584132526822096e+00
3.299999999999959854e+00,2.725484651577894990e+00
3.399999999999959499e+00,2.543721686923741565e+00
3.499999999999959144e+00,2.236151445405684335e+00
3.599999999999958789e+00,2.236756436284785821e+00
3.699999999999958433e+00,2.145211138215071145e+00
3.799999999999958078e+00,2.054497670379601182e+00
3.899999999999957723e+00,2.240064893909989419e+00
3.999999999999957367e+00,2.494066132721270090e+00
4.099999999999957012e+00,2.405238670959896297e+00
4.199999999999956657e+00,2.368908279359538849e+00
4.299999999999956302e+00,2.452931157795181782e+00
4.399999999999955946e+00,2.464534252354286359e+00
4.499999999999955591e+00,2.403240097053605862e+00
4.599999999999955236e+00,2.332637382640225354e+00
4.699999999999954881e+00,2.282670710367026068e+00
4.799999999999954525e+00,2.236860610655385440e+00
4.899999999999954170e+00,2.149704250338543066e+00
4.999999999999953815e+00,1.965713202925378766e+00
5.099999999999953459e+00,2.292032899890849240e+00
5.199999999999953104e+00,2.435918174557917926e+00
5.299999999999952749e+00,2.124598198172300556e+00
5.399999999999952394e+00,2.205026241383782892e+00
5.499999999999952038e+00,2.230880414717577587e+00
5.599999999999951683e+00,1.960919888874004702e+00
5.699999999999951328e+00,1.851063808807511091e+00
5.799999999999950973e+00,1.824866038865271545e+00
5.899999999999950617e+00,1.877586266317981423e+00
5.999999999999950262e+00,1.886083765492839515e+00
6.099999999999949907e+00,1.850608814340276354e+00
6.199999999999949551e+00,1.823021258232955466e+00
6.299999999999949196e+00,1.791802299371328511e+00
6.399999999999948841e+00,1.852803371019868139e+00
6.499999999999948486e+00,1.802722292784917579e+00
6.599999999999948130e+00,1.854973304247816035e+00
6.699999999999947775e+00,1.788387490693947424e+00
6.799999999999947420e+00,1.585568483480146229e+00
6.899999999999947065e+00,1.486118500350444016e+00
6.999999999999946709e+00,9.717440091191055229e-01
7.099999999999946354e+00,9.631833720319532555e-01
7.199999999999945999e+00,9.588623079657380144e-01
7.299999999999945643e+00,9.424744472976369636e-01
7.399999999999945288e+00,9.358918365344269796e-01
7.499999999999944933e+00,9.369824593016854442e-01
7.599999999999944578e+00,8.287626814042043932e-01
7.699999999999944222e+00,1.847632234810155927e-01
7.799999999999943867e+00,1.828838924211473576e-03
7.899999999999943512e+00,1.382912978526965403e-11
