Energy(eV),Transmission
-8.000000000000000000e+00,4.970188529895140740e-16
-7.900000000000000355e+00,7.905404071692067925e-13
-7.800000000000000711e+00,4.714087016741172438e-05
-7.700000000000001066e+00,5.924684055241520933e-04
-7.600000000000001421e+00,2.156294791752251441e-03
-7.500000000000001776e+00,1.960263946406987784e-03
-7.400000000000002132e+00,1.421496374498500094e-03
-7.300000000000002487e+00,5.347749277472648756e-03
-7.200000000000002842e+00,2.528020019510692773e-01
-7.100000000000003197e+00,4.162831456665235796e-01
-7.000000000000003553e+00,5.587174949299066329e-01
-6.900000000000003908e+00,6.565325183598925696e-01
-6.800000000000004263e+00,7.415001402196631508e-01
-6.700000000000004619e+00,8.377617758202494658e-01
-6.600000000000004974e+00,9.448903228099682083e-01
-6.500000000000005329e+00,1.038238010189558524e+00
-6.400000000000005684e+00,1.087917036379717928e+00
-6.300000000000006040e+00,8.176805791450953986e-01
-6.200000000000006395e+00,1.080528939630324592e+00
-6.100000000000006750e+00,1.098318337190394622e+00
-6.000000000000007105e+00,1.119929654451318868e+00
-5.900000000000007461e+00,1.130312027158031363e+00
-5.800000000000007816e+00,1.123487119452441618e+00
-5.700000000000008171e+00,1.113279038306600466e+00
-5.600000000000008527e+00,1.111332416337539541e+00
-5.500000000000008882e+00,1.115797709793262760e+00
-5.400000000000009237e+00,1.112101717303406678e+00
-5.300000000000009592e+00,1.090188082477156817e+00
-5.200000000000009948e+00,1.061773947174633026e+00
-5.100000000000010303e+00,1.048221009340661203e+00
-5.000000000000010658e+00,1.003600843809342003e+00
-4.900000000000011013e+00,1.122992200278434716e+00
-4.800000000000011369e+00,1.222137362913944481e+00
-4.700000000000011724e+00,1.301103557918095177e+00
-4.600000000000012079e+00,1.338280948075124099e+00
-4.500000000000012434e+00,1.357316709095349072e+00
-4.400000000000012790e+00,1.375875138237922846e+00
-4.300000000000013145e+00,1.412297610184766850e+00
-4.200000000000013500e+00,1.471082005699880346e+00
-4.100000000000013856e+00,1.538384582025906777e+00
-4.000000000000014211e+00,1.606970921387600670e+00
-3.900000000000014566e+00,1.685831053448840544e+00
-3.800000000000014921e+00,1.792576158753318882e+00
-3.700000000000015277e+00,1.948855634708230644e+00
-3.600000000000015632e+00,2.156280362801102246e+00
-3.500000000000015987e+00,2.305427887933906295e+00
-3.400000000000016342e+00,2.283467151267132511e+00
-3.300000000000016698e+00,2.331675564877047080e+00
-3.200000000000017053e+00,2.315847213754172795e+00
-3.100000000000017408e+00,2.308501918615296855e+00
-3.000000000000017764e+00,2.343681447871211798e+00
-2.900000000000018119e+00,2.354021889653472588e+00
-2.800000000000018474e+00,2.345053757224119018e+00
-2.700000000000018829e+00,2.327069954892958759e+00
-2.600000000000019185e+00,2.309008884835427988e+00
-2.500000000000019540e+00,2.265459516912985638e+00
-2.400000000000019895e+00,2.203366542419781027e+00
-2.300000000000020250e+00,2.141765818500594332e+00
-2.200000000000020606e+00,2.087735324453773966e+00
-2.100000000000020961e+00,2.084278339255442702e+00
-2.000000000000021316e+00,2.047853035487545714e+00
-1.900000000000021672e+00,1.640777891198523797e+00
-1.800000000000022027e+00,1.557980490955266362e+00
-1.700000000000022382e+00,1.391254302874878501e+00
-1.600000000000022737e+00,1.305261856578882274e+00
-1.500000000000023093e+00,1.235739567551259022e+00
-1.400000000000023448e+00,1.172278442045314284e+00
-1.300000000000023803e+00,1.112424455912716104e+00
-1.200000000000024158e+00,1.055727086110962665e+00
-1.100000000000024514e+00,1.000217450599634850e+00
-1.000000000000024869e+00,9.373673878049685326e-01
-9.000000000000252243e-01,8.330154212413438675e-01
-8.000000000000255795e-01,5.482332483319036776e-01
-7.000000000000259348e-01,5.110547568661761852e-01
-6.000000000000262901e-01,4.653245872266271732e-01
-5.000000000000266454e-01,3.336199510866899032e-01
-4.000000000000270006e-01,1.473345854583046219e-08
-3.000000000000273559e-01,1.010212992099396235e-09
-2.000000000000277112e-01,3.392072084157724101e-10
-1.000000000000280664e-01,2.437629606379883245e-10
-2.842170943040400743e-14,3.294494569043008645e-10
9.999999999997122302e-02,1.003481978516989304e-09
1.999999999999708677e-01,9.319984696892258248e-07
2.999999999999705125e-01,1.187856835062810197e-08
3.999999999999701572e-01,1.559273708185907880e-08
4.999999999999698019e-01,5.474925155412544570e-02
5.999999999999694467e-01,1.452135835617186788e-01
6.999999999999690914e-01,1.443270693326036691e-01
7.999999999999687361e-01,1.192407194827127814e-01
8.999999999999683808e-01,1.615398310683950900e-01
9.999999999999680256e-01,1.809692137507877829e-01
1.099999999999967670e+00,1.834323048826713987e-01
1.199999999999967315e+00,2.315738510999301170e-01
1.299999999999966960e+00,2.895077955538784553e-01
1.399999999999966604e+00,3.879551780229897329e-01
1.499999999999966249e+00,5.595183830685375170e-01
1.599999999999965894e+00,7.645216192784939357e-01
1.699999999999965539e+00,9.471191769822605577e-01
1.799999999999965183e+00,1.041075144363708516e+00
1.899999999999964828e+00,1.168984674136801960e+00
1.999999999999964473e+00,1.586126799706534030e+00
2.099999999999964118e+00,1.827119512137006518e+00
2.199999999999963762e+00,1.967222358595553500e+00
2.299999999999963407e+00,2.107073672399522923e+00
2.399999999999963052e+00,2.202766007284019611e+00
2.499999999999962697e+00,2.251996817139618745e+00
2.599999999999962341e+00,2.320595586316139158e+00
2.699999999999961986e+00,2.342982224597608631e+00
2.799999999999961631e+00,2.354627379771929263e+00
2.899999999999961275e+00,2.362617102008468972e+00
2.999999999999960920e+00,2.355228839885321168e+00
3.099999999999960565e+00,2.315365887332806238e+00
3.199999999999960210e+00,2.318000978729185757e+00
3.299999999999959854e+00,2.330674744208137472e+00
3.399999999999959499e+00,2.284987199490289722e+00
3.499999999999959144e+00,2.312644615136862924e+00
3.599999999999958789e+00,2.276181346005869077e+00
3.699999999999958433e+00,2.176145059086608935e+00
3.799999999999958078e+00,2.085090591870843113e+00
3.899999999999957723e+00,2.022616959810854098e+00
3.999999999999957367e+00,1.988592684900932772e+00
4.099999999999957012e+00,1.973822766430224585e+00
4.199999999999956657e+00,1.965374714494830144e+00
4.299999999999956302e+00,1.943053998995489806e+00
4.399999999999955946e+00,1.895836263556485601e+00
4.499999999999955591e+00,1.842057321319287455e+00
4.599999999999955236e+00,1.807431929545221916e+00
4.699999999999954881e+00,1.781713231512971785e+00
4.799999999999954525e+00,1.638903775269213270e+00
4.899999999999954170e+00,1.397382421240515038e+00
4.999999999999953815e+00,1.237620281192673088e+00
5.099999999999953459e+00,1.210896657761991291e+00
5.199999999999953104e+00,1.188952002662315488e+00
5.299999999999952749e+00,1.198350848422316428e+00
5.399999999999952394e+00,1.215114722895145105e+00
5.499999999999952038e+00,1.226038591906787989e+00
5.599999999999951683e+00,1.225698094256785664e+00
5.699999999999951328e+00,1.216389938242876001e+00
5.799999999999950973e+00,1.210742568989465529e+00
5.899999999999950617e+00,1.209386515677107976e+00
5.999999999999950262e+00,1.186193852806849192e+00
6.099999999999949907e+00,1.131579630447648421e+00
6.199999999999949551e+00,1.091452773108990693e+00
6.299999999999949196e+00,6.340689401127499458e-01
6.399999999999948841e+00,1.086353367903303502e+00
6.499999999999948486e+00,1.082608803202992354e+00
6.599999999999948130e+00,1.054479772287577832e+00
6.699999999999947775e+00,1.011758588687306837e+00
6.799999999999947420e+00,9.715112339356457571e-01
6.899999999999947065e+00,9.426405427600015319e-01
6.999999999999946709e+00,9.147767019415888878e-01
7.099999999999946354e+00,8.698131153522585812e-01
7.199999999999945999e+00,7.657865509415112681e-01
7.299999999999945643e+00,3.684595333161690411e-01
7.399999999999945288e+00,2.558981786570078132e-01
7.499999999999944933e+00,2.334417635068448404e-01
7.599999999999944578e+00,1.751034392917171778e-01
7.699999999999944222e+00,2.794198787490221811e-02
7.799999999999943867e+00,1.013403825165719785e-03
7.899999999999943512e+00,9.650787116216109171e-12
