# Length,R_Method1,R_Method2
# Params: T=150, E=0.0
5.000000000000000000e+00,1.806172793988581543e+12,1.810257387275201416e+12
6.000000000000000000e+00,3.405123221438723633e+12,3.421796059200395020e+12
7.000000000000000000e+00,6.379618068714526367e+12,6.428480140925403320e+12
8.000000000000000000e+00,1.181093687484485156e+13,1.195795942879492773e+13
9.000000000000000000e+00,2.200534933400409375e+13,2.225677959980840625e+13
1.000000000000000000e+01,4.070043189060186719e+13,4.130373813555900781e+13
1.100000000000000000e+01,7.533065422431295312e+13,7.647760238215726562e+13
1.200000000000000000e+01,1.388713760063506250e+14,1.413517017216935000e+14
1.300000000000000000e+01,2.558977591407810625e+14,2.635002906503080938e+14
1.400000000000000000e+01,4.720375340765076875e+14,4.839110055763745625e+14
1.500000000000000000e+01,8.779613537730157500e+14,8.992644400769195000e+14
1.600000000000000000e+01,1.608638447285904500e+15,1.646460346071930500e+15
1.700000000000000000e+01,2.983279536849776500e+15,3.073926614536649000e+15
1.800000000000000000e+01,5.478072960360148000e+15,5.711922558730329000e+15
1.900000000000000000e+01,1.008295849942805800e+16,1.035243011445046400e+16
2.000000000000000000e+01,nan,1.288735661512443800e+16
2.100000000000000000e+01,nan,1.290600000000000000e+16
2.200000000000000000e+01,nan,1.290600000000000000e+16
2.300000000000000000e+01,nan,1.290600000000000000e+16
2.400000000000000000e+01,nan,1.290600000000000000e+16
2.500000000000000000e+01,nan,1.290600000000000000e+16
2.600000000000000000e+01,nan,1.290600000000000000e+16
2.700000000000000000e+01,nan,1.290600000000000000e+16
2.800000000000000000e+01,nan,1.290600000000000000e+16
2.900000000000000000e+01,nan,1.290600000000000000e+16
3.000000000000000000e+01,nan,1.290600000000000000e+16
3.100000000000000000e+01,nan,1.290600000000000000e+16
3.200000000000000000e+01,nan,1.290600000000000000e+16
3.300000000000000000e+01,nan,1.290600000000000000e+16
3.400000000000000000e+01,nan,1.290600000000000000e+16
3.500000000000000000e+01,nan,1.290600000000000000e+16
3.600000000000000000e+01,nan,1.290600000000000000e+16
3.700000000000000000e+01,nan,1.290600000000000000e+16
3.800000000000000000e+01,nan,1.290600000000000000e+16
3.900000000000000000e+01,nan,1.290600000000000000e+16
4.000000000000000000e+01,nan,1.290600000000000000e+16
4.100000000000000000e+01,nan,1.290600000000000000e+16
4.200000000000000000e+01,nan,1.290600000000000000e+16
4.300000000000000000e+01,nan,1.290600000000000000e+16
4.400000000000000000e+01,nan,1.290600000000000000e+16
4.500000000000000000e+01,nan,1.290600000000000000e+16
4.600000000000000000e+01,nan,1.290600000000000000e+16
4.700000000000000000e+01,nan,1.290600000000000000e+16
4.800000000000000000e+01,nan,1.290600000000000000e+16
5.000000000000000000e+01,nan,1.290600000000000000e+16
