# Length,R_Method1,R_Method2
# Params: T=300.0, E=0
5.000000000000000000e+00,1.806879384801810059e+12,1.813949595609347656e+12
6.000000000000000000e+00,3.392090913219743164e+12,3.435125615580181152e+12
7.000000000000000000e+00,6.387701674777078125e+12,6.476428797504032227e+12
8.000000000000000000e+00,1.180068634500670898e+13,1.198910706395194727e+13
9.000000000000000000e+00,2.179146266434630078e+13,2.269652709084347266e+13
1.000000000000000000e+01,3.991483247970201562e+13,4.167338396865025000e+13
1.100000000000000000e+01,7.492213912903276562e+13,7.736624900379315625e+13
1.200000000000000000e+01,1.394094116811906406e+14,1.449962544019285312e+14
1.300000000000000000e+01,2.550274827299260938e+14,2.648919499180572188e+14
1.400000000000000000e+01,4.769290189954912500e+14,4.939561404808561875e+14
1.500000000000000000e+01,8.679112286351355000e+14,9.206833096499156250e+14
1.600000000000000000e+01,1.597245255493639000e+15,1.719898021811237500e+15
1.700000000000000000e+01,2.875590661062857000e+15,3.102371067123176000e+15
1.800000000000000000e+01,5.395255196154192000e+15,5.718492895204004000e+15
1.900000000000000000e+01,9.976982947754544000e+15,1.027553496093032600e+16
2.000000000000000000e+01,nan,1.260248415063140200e+16
2.100000000000000000e+01,nan,1.290600000000000000e+16
2.200000000000000000e+01,nan,1.290600000000000000e+16
2.300000000000000000e+01,nan,1.290600000000000000e+16
2.400000000000000000e+01,nan,1.290600000000000000e+16
2.500000000000000000e+01,nan,1.290600000000000000e+16
2.600000000000000000e+01,nan,1.290600000000000000e+16
2.700000000000000000e+01,nan,1.290600000000000000e+16
2.800000000000000000e+01,nan,1.290600000000000000e+16
2.900000000000000000e+01,nan,1.290600000000000000e+16
3.000000000000000000e+01,nan,1.290600000000000000e+16
3.100000000000000000e+01,nan,1.290600000000000000e+16
3.200000000000000000e+01,nan,1.290600000000000000e+16
3.300000000000000000e+01,nan,1.290600000000000000e+16
3.400000000000000000e+01,nan,1.290600000000000000e+16
3.500000000000000000e+01,nan,1.290600000000000000e+16
3.600000000000000000e+01,nan,1.290600000000000000e+16
3.700000000000000000e+01,nan,1.290600000000000000e+16
3.800000000000000000e+01,nan,1.290600000000000000e+16
3.900000000000000000e+01,nan,1.290600000000000000e+16
4.000000000000000000e+01,nan,1.290600000000000000e+16
4.100000000000000000e+01,nan,1.290600000000000000e+16
4.200000000000000000e+01,nan,1.290600000000000000e+16
4.300000000000000000e+01,nan,1.290600000000000000e+16
4.400000000000000000e+01,nan,1.290600000000000000e+16
4.500000000000000000e+01,nan,1.290600000000000000e+16
4.600000000000000000e+01,nan,1.290600000000000000e+16
4.700000000000000000e+01,nan,1.290600000000000000e+16
4.800000000000000000e+01,nan,1.290600000000000000e+16
5.000000000000000000e+01,nan,1.290600000000000000e+16
