# Length,R_Method1,R_Method2
# Params: T=300.0, E=6.0
5.000000000000000000e+00,4.451729984924123528e+03,4.452310230640602640e+03
6.000000000000000000e+00,4.467055077205412090e+03,4.468109663976503725e+03
7.000000000000000000e+00,4.545422758347430317e+03,4.546992550614811989e+03
8.000000000000000000e+00,4.596045215598394861e+03,4.597867677664956318e+03
9.000000000000000000e+00,4.576238527821629759e+03,4.578752989546681420e+03
1.000000000000000000e+01,4.587729347998153571e+03,4.590492706986819030e+03
1.100000000000000000e+01,4.585782983764695018e+03,4.589740069057106666e+03
1.200000000000000000e+01,4.644666695577741848e+03,4.648427234592605600e+03
1.300000000000000000e+01,4.709572850483851653e+03,4.714704896010510311e+03
1.400000000000000000e+01,4.801760126241508260e+03,4.809298095233901222e+03
1.500000000000000000e+01,4.777799966498736467e+03,4.786626945923018866e+03
1.600000000000000000e+01,4.836783939082203688e+03,4.844713126082817325e+03
1.700000000000000000e+01,4.809004211231252157e+03,4.819753053806702155e+03
1.800000000000000000e+01,4.830988370685287919e+03,4.841732069501202204e+03
1.900000000000000000e+01,4.894503821278339274e+03,4.907288299139852825e+03
2.000000000000000000e+01,4.857022579146407224e+03,4.868380001447519135e+03
2.100000000000000000e+01,5.035298879406146625e+03,5.051742363981963535e+03
2.200000000000000000e+01,4.977680911908366397e+03,4.991605867402889999e+03
2.300000000000000000e+01,5.007456692421508706e+03,5.025031528046907624e+03
2.400000000000000000e+01,5.002837998017746941e+03,5.016255207230734413e+03
2.500000000000000000e+01,4.952454453323629423e+03,4.968151788832577950e+03
2.600000000000000000e+01,5.018209146461862474e+03,5.039730552744468696e+03
2.700000000000000000e+01,5.173621885975183432e+03,5.196446179708858836e+03
2.800000000000000000e+01,5.188413764825186263e+03,5.209342067157134807e+03
2.900000000000000000e+01,5.276141250289312666e+03,5.300159451390159120e+03
3.000000000000000000e+01,5.220844887471278525e+03,5.243608643738115461e+03
3.100000000000000000e+01,5.245875712552986442e+03,5.273944885164066363e+03
3.200000000000000000e+01,5.327726244060972931e+03,5.354497083911897789e+03
3.300000000000000000e+01,5.169953954477085063e+03,5.189517257372427594e+03
3.400000000000000000e+01,5.485938640821835179e+03,5.512242122067467790e+03
3.500000000000000000e+01,5.388473366537254151e+03,5.423800422463247742e+03
3.600000000000000000e+01,5.389730625145207341e+03,5.416364878235327524e+03
3.700000000000000000e+01,5.346064001795457443e+03,5.380008774829643698e+03
3.800000000000000000e+01,5.406024541373729335e+03,5.439063801454729401e+03
3.900000000000000000e+01,5.494093940774676412e+03,5.529259341656337710e+03
4.000000000000000000e+01,5.277212849850578095e+03,5.315626138605370215e+03
4.100000000000000000e+01,5.446812467519790516e+03,5.483609372979765794e+03
4.200000000000000000e+01,5.808121110951872652e+03,5.869136219587992855e+03
4.300000000000000000e+01,5.548547469413051658e+03,5.589497964195239547e+03
4.400000000000000000e+01,5.691003253403408053e+03,5.736479418848902242e+03
4.500000000000000000e+01,5.818959956773676822e+03,5.866552197209143742e+03
4.600000000000000000e+01,5.668137822729373511e+03,5.714855397241566607e+03
4.700000000000000000e+01,5.772088295006021326e+03,5.824780533962180016e+03
4.800000000000000000e+01,5.703415922293509539e+03,5.773325344512663833e+03
5.000000000000000000e+01,5.745132627384050465e+03,5.797763063523678284e+03
