Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1530.125    -1533.783        3.658   294.8
0.0010        -1530.120    -1533.812        3.691   297.5
0.0020        -1530.079    -1533.818        3.739   301.3
0.0030        -1530.095    -1533.799        3.704   298.5
0.0040        -1530.035    -1533.810        3.774   304.2
0.0050        -1529.988    -1533.892        3.903   314.6
0.0060        -1530.083    -1534.086        4.003   322.6
0.0070        -1530.078    -1534.382        4.304   346.8
0.0080        -1530.125    -1534.743        4.618   372.2
0.0090        -1530.082    -1535.094        5.012   403.9
0.0100        -1530.067    -1535.335        5.267   424.5
0.0110        -1530.028    -1535.415        5.387   434.2
0.0120        -1529.980    -1535.291        5.311   428.0
0.0130        -1529.988    -1535.008        5.020   404.6
0.0140        -1530.070    -1534.636        4.566   368.0
0.0150        -1530.174    -1534.281        4.107   331.0
0.0160        -1530.215    -1534.029        3.813   307.3
0.0170        -1530.237    -1533.957        3.720   299.8
0.0180        -1530.209    -1534.052        3.843   309.7
0.0190        -1530.096    -1534.252        4.157   335.0
0.0200        -1530.087    -1534.447        4.361   351.4
0.0210        -1530.165    -1534.519        4.354   350.9
0.0220        -1530.140    -1534.427        4.287   345.5
0.0230        -1530.141    -1534.184        4.044   325.9
0.0240        -1530.061    -1533.856        3.795   305.8
0.0250        -1530.016    -1533.538        3.522   283.8
0.0260        -1530.051    -1533.336        3.285   264.7
0.0270        -1529.964    -1533.308        3.344   269.5
0.0280        -1529.937    -1533.405        3.468   279.5
0.0290        -1529.921    -1533.550        3.629   292.5
0.0300        -1529.922    -1533.694        3.772   304.0
0.0310        -1529.933    -1533.785        3.852   310.4
0.0320        -1529.917    -1533.793        3.876   312.4
0.0330        -1529.924    -1533.708        3.785   305.0
0.0340        -1529.906    -1533.618        3.712   299.1
0.0350        -1529.916    -1533.599        3.684   296.9
0.0360        -1529.871    -1533.715        3.844   309.8
0.0370        -1529.838    -1533.956        4.117   331.8
0.0380        -1529.883    -1534.286        4.404   354.9
0.0390        -1529.919    -1534.652        4.733   381.4
0.0400        -1529.963    -1534.977        5.015   404.1
0.0410        -1530.059    -1535.195        5.136   413.9
0.0420        -1530.077    -1535.250        5.173   416.9
0.0430        -1530.113    -1535.139        5.026   405.0
0.0440        -1530.099    -1534.927        4.828   389.1
0.0450        -1530.138    -1534.652        4.514   363.7
0.0460        -1530.142    -1534.385        4.243   341.9
0.0470        -1530.137    -1534.167        4.030   324.8
0.0480        -1530.129    -1534.037        3.908   314.9
0.0490        -1530.074    -1533.989        3.915   315.5
0.0500        -1529.999    -1533.975        3.976   320.4
0.0510        -1530.029    -1533.945        3.916   315.6
0.0520        -1530.159    -1533.858        3.700   298.1
0.0530        -1530.193    -1533.725        3.531   284.6
0.0540        -1530.310    -1533.590        3.280   264.3
0.0550        -1530.368    -1533.487        3.119   251.4
0.0560        -1530.303    -1533.431        3.127   252.0
0.0570        -1530.334    -1533.440        3.106   250.3
0.0580        -1530.212    -1533.509        3.297   265.7
0.0590        -1530.184    -1533.624        3.441   277.3
0.0600        -1530.146    -1533.807        3.661   295.0
0.0610        -1530.268    -1534.040        3.771   303.9
0.0620        -1530.254    -1534.286        4.032   324.9
0.0630        -1530.195    -1534.503        4.308   347.2
0.0640        -1530.132    -1534.646        4.514   363.8
0.0650        -1530.185    -1534.706        4.521   364.3
0.0660        -1530.179    -1534.672        4.493   362.0
0.0670        -1530.067    -1534.542        4.475   360.6
0.0680        -1529.992    -1534.372        4.380   353.0
0.0690        -1529.936    -1534.217        4.281   345.0
0.0700        -1530.015    -1534.126        4.111   331.3
0.0710        -1530.056    -1534.148        4.092   329.8
0.0720        -1530.040    -1534.292        4.252   342.7
0.0730        -1530.123    -1534.512        4.388   353.7
0.0740        -1530.159    -1534.741        4.581   369.2
0.0750        -1530.207    -1534.907        4.700   378.8
0.0760        -1530.255    -1534.992        4.737   381.7
0.0770        -1530.209    -1534.948        4.738   381.9
0.0780        -1530.210    -1534.754        4.545   366.3
0.0790        -1530.154    -1534.442        4.288   345.6
0.0800        -1530.203    -1534.065        3.862   311.3
0.0810        -1530.248    -1533.728        3.480   280.5
0.0820        -1530.162    -1533.497        3.334   268.7
0.0830        -1530.060    -1533.431        3.371   271.7
0.0840        -1530.069    -1533.517        3.449   277.9
0.0850        -1530.107    -1533.705        3.598   290.0
0.0860        -1529.966    -1533.913        3.947   318.1
0.0870        -1530.137    -1534.053        3.915   315.5
0.0880        -1530.080    -1534.130        4.050   326.4
0.0890        -1530.085    -1534.140        4.055   326.8
0.0900        -1530.181    -1534.121        3.940   317.5
0.0910        -1530.203    -1534.115        3.913   315.3
0.0920        -1530.297    -1534.153        3.856   310.7
0.0930        -1530.315    -1534.254        3.939   317.5
0.0940        -1530.228    -1534.388        4.160   335.2
0.0950        -1530.231    -1534.521        4.291   345.8
0.0960        -1530.272    -1534.628        4.356   351.1
0.0970        -1530.318    -1534.680        4.363   351.6
0.0980        -1530.243    -1534.666        4.423   356.4
0.0990        -1530.284    -1534.573        4.289   345.6
0.1000        -1530.267    -1534.410        4.143   333.9
0.1010        -1530.229    -1534.225        3.996   322.0
0.1020        -1530.268    -1534.069        3.801   306.3
0.1030        -1530.298    -1533.969        3.671   295.8
0.1040        -1530.290    -1533.945        3.654   294.5
0.1050        -1530.242    -1533.982        3.740   301.4
0.1060        -1530.250    -1534.078        3.827   308.4
0.1070        -1530.315    -1534.219        3.904   314.6
0.1080        -1530.362    -1534.354        3.992   321.7
0.1090        -1530.321    -1534.434        4.113   331.5
0.1100        -1530.286    -1534.448        4.162   335.4
0.1110        -1530.407    -1534.372        3.965   319.6
0.1120        -1530.386    -1534.279        3.893   313.7
0.1130        -1530.471    -1534.169        3.698   298.0
0.1140        -1530.484    -1534.088        3.603   290.4
0.1150        -1530.409    -1534.063        3.655   294.5
0.1160        -1530.341    -1534.083        3.742   301.5
0.1170        -1530.414    -1534.131        3.716   299.5
0.1180        -1530.453    -1534.232        3.778   304.5
0.1190        -1530.407    -1534.359        3.951   318.4
0.1200        -1530.375    -1534.471        4.096   330.1
0.1210        -1530.365    -1534.557        4.193   337.9
0.1220        -1530.611    -1534.598        3.987   321.3
0.1230        -1530.674    -1534.602        3.928   316.5
0.1240        -1530.545    -1534.568        4.023   324.2
0.1250        -1530.594    -1534.507        3.913   315.4
0.1260        -1530.614    -1534.442        3.828   308.5
0.1270        -1530.564    -1534.406        3.843   309.7
0.1280        -1530.591    -1534.426        3.835   309.1
0.1290        -1530.558    -1534.492        3.935   317.1
0.1300        -1530.491    -1534.582        4.091   329.6
0.1310        -1530.535    -1534.632        4.097   330.1
0.1320        -1530.485    -1534.622        4.137   333.4
0.1330        -1530.393    -1534.558        4.165   335.7
0.1340        -1530.432    -1534.457        4.025   324.3
0.1350        -1530.472    -1534.338        3.866   311.5
0.1360        -1530.482    -1534.248        3.765   303.4
0.1370        -1530.477    -1534.206        3.728   300.4
0.1380        -1530.464    -1534.219        3.755   302.6
0.1390        -1530.457    -1534.290        3.832   308.8
0.1400        -1530.536    -1534.361        3.825   308.2
0.1410        -1530.552    -1534.421        3.869   311.8
0.1420        -1530.572    -1534.449        3.878   312.5
0.1430        -1530.682    -1534.451        3.769   303.8
0.1440        -1530.658    -1534.437        3.778   304.5
0.1450        -1530.559    -1534.367        3.808   306.9
0.1460        -1530.559    -1534.263        3.704   298.5
0.1470        -1530.526    -1534.146        3.620   291.7
0.1480        -1530.492    -1534.043        3.550   286.1
0.1490        -1530.451    -1533.971        3.520   283.7
0.1500        -1530.505    -1533.956        3.451   278.1
0.1510        -1530.521    -1534.004        3.483   280.7
0.1520        -1530.443    -1534.097        3.654   294.5
0.1530        -1530.425    -1534.225        3.800   306.3
0.1540        -1530.418    -1534.363        3.945   317.9
0.1550        -1530.522    -1534.482        3.959   319.1
0.1560        -1530.557    -1534.584        4.027   324.5
0.1570        -1530.678    -1534.639        3.961   319.2
0.1580        -1530.688    -1534.654        3.966   319.6
0.1590        -1530.678    -1534.618        3.940   317.5
0.1600        -1530.572    -1534.541        3.969   319.8
0.1610        -1530.557    -1534.430        3.874   312.2
0.1620        -1530.418    -1534.311        3.893   313.7
0.1630        -1530.405    -1534.217        3.813   307.3
0.1640        -1530.345    -1534.155        3.811   307.1
0.1650        -1530.364    -1534.116        3.752   302.4
0.1660        -1530.241    -1534.067        3.825   308.3
0.1670        -1530.242    -1534.022        3.780   304.6
0.1680        -1530.215    -1533.990        3.775   304.2
0.1690        -1530.142    -1533.955        3.814   307.3
0.1700        -1530.120    -1533.932        3.812   307.2
0.1710        -1530.154    -1533.924        3.770   303.8
0.1720        -1529.996    -1533.913        3.918   315.7
0.1730        -1529.962    -1533.905        3.944   317.8
0.1740        -1529.946    -1533.904        3.958   319.0
0.1750        -1529.981    -1533.914        3.933   317.0
0.1760        -1529.979    -1533.934        3.955   318.7
0.1770        -1529.952    -1533.977        4.025   324.4
0.1780        -1529.954    -1534.063        4.109   331.2
0.1790        -1529.949    -1534.219        4.270   344.1
0.1800        -1530.017    -1534.409        4.392   354.0
0.1810        -1530.073    -1534.594        4.521   364.3
0.1820        -1530.095    -1534.742        4.647   374.5
0.1830        -1530.024    -1534.830        4.806   387.3
0.1840        -1530.088    -1534.784        4.697   378.5
0.1850        -1530.048    -1534.589        4.541   366.0
0.1860        -1530.079    -1534.293        4.214   339.6
0.1870        -1530.040    -1533.978        3.938   317.3
0.1880        -1530.052    -1533.679        3.627   292.3
0.1890        -1529.976    -1533.473        3.496   281.8
0.1900        -1529.969    -1533.391        3.422   275.8
0.1910        -1529.826    -1533.435        3.609   290.9
0.1920        -1529.863    -1533.590        3.727   300.3
0.1930        -1529.953    -1533.790        3.838   309.3
0.1940        -1529.918    -1533.978        4.060   327.2
0.1950        -1529.941    -1534.129        4.187   337.4
0.1960        -1530.046    -1534.232        4.186   337.3
0.1970        -1529.991    -1534.253        4.262   343.4
0.1980        -1530.015    -1534.198        4.183   337.1
0.1990        -1530.055    -1534.100        4.045   326.0
0.2000        -1530.058    -1533.981        3.923   316.2
0.2010        -1530.054    -1533.888        3.833   308.9
0.2020        -1530.065    -1533.876        3.812   307.2
0.2030        -1530.149    -1533.943        3.795   305.8
0.2040        -1530.255    -1534.065        3.811   307.1
0.2050        -1530.318    -1534.224        3.905   314.7
0.2060        -1530.361    -1534.356        3.995   321.9
0.2070        -1530.297    -1534.445        4.148   334.3
0.2080        -1530.299    -1534.470        4.172   336.2
0.2090        -1530.190    -1534.411        4.220   340.1
0.2100        -1530.215    -1534.294        4.079   328.7
0.2110        -1530.180    -1534.156        3.976   320.4
0.2120        -1530.218    -1534.039        3.821   307.9
0.2130        -1530.218    -1533.985        3.767   303.6
0.2140        -1530.112    -1533.985        3.874   312.2
0.2150        -1530.009    -1534.022        4.013   323.4
0.2160        -1529.871    -1534.094        4.224   340.4
0.2170        -1529.895    -1534.174        4.278   344.8
0.2180        -1529.919    -1534.250        4.331   349.0
0.2190        -1529.841    -1534.292        4.450   358.6
0.2200        -1529.943    -1534.273        4.330   348.9
0.2210        -1529.945    -1534.215        4.269   344.0
0.2220        -1529.967    -1534.157        4.190   337.7
0.2230        -1530.043    -1534.151        4.109   331.1
0.2240        -1530.036    -1534.211        4.175   336.5
0.2250        -1530.071    -1534.342        4.271   344.2
0.2260        -1530.104    -1534.525        4.421   356.2
0.2270        -1530.223    -1534.710        4.487   361.6
0.2280        -1530.148    -1534.833        4.684   377.5
0.2290        -1530.203    -1534.820        4.616   372.0
0.2300        -1530.238    -1534.668        4.430   357.0
0.2310        -1530.199    -1534.418        4.219   340.0
0.2320        -1530.184    -1534.153        3.969   319.8
