Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1533.783    -1533.783        0.000     0.0
0.0010        -1533.786    -1533.931        0.145    11.7
0.0020        -1533.799    -1534.341        0.542    43.7
0.0030        -1533.822    -1534.921        1.099    88.5
0.0040        -1533.858    -1535.553        1.696   136.6
0.0050        -1533.902    -1536.125        2.223   179.1
0.0060        -1533.953    -1536.560        2.607   210.1
0.0070        -1534.006    -1536.832        2.826   227.7
0.0080        -1534.060    -1536.970        2.910   234.5
0.0090        -1534.115    -1537.031        2.916   235.0
0.0100        -1534.172    -1537.071        2.899   233.6
0.0110        -1534.231    -1537.116        2.885   232.5
0.0120        -1534.291    -1537.150        2.859   230.4
0.0130        -1534.350    -1537.136        2.785   224.5
0.0140        -1534.405    -1537.042        2.637   212.5
0.0150        -1534.453    -1536.871        2.419   194.9
0.0160        -1534.495    -1536.669        2.174   175.2
0.0170        -1534.533    -1536.498        1.965   158.4
0.0180        -1534.569    -1536.415        1.846   148.8
0.0190        -1534.608    -1536.443        1.835   147.9
0.0200        -1534.649    -1536.555        1.906   153.6
0.0210        -1534.693    -1536.690        1.997   161.0
0.0220        -1534.737    -1536.778        2.041   164.5
0.0230        -1534.778    -1536.769        1.991   160.4
0.0240        -1534.815    -1536.654        1.840   148.2
0.0250        -1534.845    -1536.472        1.627   131.1
0.0260        -1534.872    -1536.287        1.415   114.1
0.0270        -1534.897    -1536.158        1.261   101.6
0.0280        -1534.923    -1536.108        1.185    95.5
0.0290        -1534.950    -1536.119        1.169    94.2
0.0300        -1534.976    -1536.144        1.168    94.1
0.0310        -1535.000    -1536.142        1.142    92.0
0.0320        -1535.021    -1536.098        1.077    86.8
0.0330        -1535.039    -1536.034        0.995    80.2
0.0340        -1535.055    -1535.996        0.941    75.8
0.0350        -1535.072    -1536.037        0.965    77.8
0.0360        -1535.092    -1536.193        1.101    88.7
0.0370        -1535.118    -1536.467        1.349   108.7
0.0380        -1535.152    -1536.829        1.676   135.1
0.0390        -1535.194    -1537.216        2.021   162.9
0.0400        -1535.242    -1537.553        2.311   186.2
0.0410        -1535.293    -1537.775        2.482   200.0
0.0420        -1535.343    -1537.847        2.504   201.8
