Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -3033.833    -3067.566       33.733  1019.4
0.0010        -3033.713    -3066.409       32.696   988.1
0.0020        -3034.017    -3063.514       29.496   891.4
0.0030        -3033.637    -3059.683       26.046   787.1
0.0040        -3033.730    -3056.032       22.302   674.0
0.0050        -3032.978    -3053.427       20.448   617.9
0.0060        -3032.671    -3052.502       19.831   599.3
0.0070        -3032.893    -3053.062       20.169   609.5
0.0080        -3032.754    -3054.704       21.950   663.3
0.0090        -3032.267    -3056.572       24.305   734.5
0.0100        -3032.093    -3057.899       25.805   779.8
0.0110        -3032.164    -3058.370       26.206   791.9
0.0120        -3032.020    -3057.980       25.960   784.5
0.0130        -3032.057    -3056.973       24.916   753.0
0.0140        -3032.364    -3055.758       23.394   707.0
0.0150        -3031.971    -3054.881       22.910   692.4
0.0160        -3032.127    -3054.519       22.392   676.7
0.0170        -3031.753    -3054.672       22.919   692.6
0.0180        -3031.142    -3055.341       24.200   731.3
0.0190        -3031.020    -3056.179       25.158   760.3
0.0200        -3030.828    -3056.808       25.980   785.1
0.0210        -3030.615    -3056.859       26.243   793.1
0.0220        -3030.502    -3056.128       25.626   774.4
0.0230        -3029.962    -3054.728       24.766   748.4
0.0240        -3030.000    -3053.112       23.112   698.4
0.0250        -3030.021    -3051.688       21.667   654.8
0.0260        -3029.428    -3050.701       21.273   642.9
0.0270        -3029.269    -3050.223       20.954   633.2
0.0280        -3029.427    -3050.217       20.789   628.3
0.0290        -3029.271    -3050.563       21.292   643.4
0.0300        -3029.027    -3051.143       22.116   668.4
0.0310        -3028.673    -3051.883       23.210   701.4
0.0320        -3028.310    -3052.531       24.221   732.0
0.0330        -3028.211    -3052.983       24.771   748.6
0.0340        -3027.846    -3053.193       25.347   766.0
0.0350        -3027.963    -3053.237       25.274   763.8
0.0360        -3027.689    -3053.185       25.496   770.5
0.0370        -3027.461    -3053.290       25.829   780.6
0.0380        -3026.898    -3053.734       26.836   811.0
0.0390        -3027.415    -3054.583       27.168   821.0
0.0400        -3027.673    -3055.670       27.997   846.1
0.0410        -3026.960    -3056.811       29.851   902.1
0.0420        -3026.959    -3057.715       30.756   929.4
0.0430        -3026.647    -3058.031       31.384   948.4
0.0440        -3027.092    -3057.705       30.613   925.1
0.0450        -3027.200    -3056.852       29.652   896.1
0.0460        -3027.002    -3055.638       28.636   865.4
0.0470        -3026.751    -3054.277       27.526   831.8
0.0480        -3026.465    -3052.949       26.484   800.3
0.0490        -3026.060    -3051.912       25.851   781.2
0.0500        -3025.583    -3051.174       25.590   773.3
0.0510        -3025.260    -3050.779       25.519   771.2
0.0520        -3025.037    -3050.552       25.515   771.1
0.0530        -3024.512    -3050.468       25.957   784.4
0.0540        -3024.610    -3050.392       25.782   779.1
0.0550        -3024.551    -3050.180       25.629   774.5
0.0560        -3024.415    -3049.794       25.379   767.0
0.0570        -3024.197    -3049.228       25.031   756.4
0.0580        -3023.861    -3048.678       24.817   750.0
0.0590        -3023.126    -3048.412       25.286   764.2
0.0600        -3022.762    -3048.446       25.684   776.2
0.0610        -3022.520    -3048.898       26.378   797.1
0.0620        -3022.725    -3049.656       26.931   813.8
0.0630        -3022.424    -3050.414       27.991   845.9
0.0640        -3022.211    -3050.972       28.760   869.1
0.0650        -3022.536    -3051.235       28.698   867.3
0.0660        -3022.404    -3051.216       28.812   870.7
0.0670        -3021.812    -3050.972       29.160   881.2
0.0680        -3021.699    -3050.549       28.850   871.8
0.0690        -3021.604    -3050.073       28.469   860.3
0.0700        -3022.107    -3049.834       27.726   837.9
0.0710        -3021.939    -3050.064       28.125   850.0
0.0720        -3021.861    -3050.652       28.791   870.1
0.0730        -3021.701    -3051.470       29.769   899.6
0.0740        -3021.458    -3052.296       30.838   931.9
0.0750        -3020.865    -3052.742       31.877   963.3
0.0760        -3020.598    -3052.527       31.929   964.9
0.0770        -3020.879    -3051.715       30.836   931.9
0.0780        -3020.307    -3050.423       30.116   910.1
0.0790        -3020.158    -3049.135       28.977   875.7
0.0800        -3020.404    -3048.098       27.694   836.9
0.0810        -3020.173    -3047.498       27.325   825.8
0.0820        -3020.680    -3047.291       26.611   804.2
0.0830        -3021.123    -3047.481       26.358   796.5
0.0840        -3021.103    -3047.838       26.735   807.9
0.0850        -3021.183    -3048.120       26.937   814.0
0.0860        -3021.131    -3048.314       27.183   821.5
0.0870        -3020.979    -3048.546       27.567   833.1
0.0880        -3020.878    -3048.821       27.943   844.4
0.0890        -3020.824    -3049.166       28.342   856.5
0.0900        -3020.983    -3049.476       28.493   861.1
0.0910        -3020.918    -3049.779       28.861   872.2
0.0920        -3020.856    -3050.009       29.153   881.0
0.0930        -3020.620    -3050.245       29.625   895.3
0.0940        -3020.529    -3050.462       29.933   904.6
0.0950        -3020.176    -3050.672       30.496   921.6
0.0960        -3020.017    -3050.782       30.765   929.7
0.0970        -3019.157    -3050.512       31.356   947.6
0.0980        -3019.347    -3049.784       30.436   919.8
0.0990        -3019.556    -3048.865       29.309   885.7
0.1000        -3019.381    -3048.157       28.776   869.6
0.1010        -3019.509    -3047.854       28.345   856.6
0.1020        -3019.530    -3048.080       28.550   862.8
0.1030        -3018.942    -3048.816       29.874   902.8
0.1040        -3018.763    -3049.699       30.936   934.9
0.1050        -3019.277    -3050.413       31.136   940.9
0.1060        -3019.425    -3050.809       31.385   948.4
0.1070        -3019.488    -3050.810       31.322   946.6
0.1080        -3019.552    -3050.566       31.015   937.3
0.1090        -3019.090    -3050.223       31.133   940.8
0.1100        -3018.499    -3049.914       31.415   949.4
0.1110        -3018.197    -3049.705       31.508   952.2
0.1120        -3018.253    -3049.513       31.260   944.7
0.1130        -3018.487    -3049.273       30.785   930.3
0.1140        -3018.438    -3048.958       30.520   922.3
0.1150        -3018.492    -3048.443       29.951   905.1
0.1160        -3018.030    -3047.737       29.707   897.7
0.1170        -3017.729    -3046.894       29.166   881.4
0.1180        -3017.789    -3046.240       28.451   859.8
0.1190        -3017.444    -3046.118       28.674   866.5
0.1200        -3017.541    -3046.420       28.878   872.7
0.1210        -3017.170    -3046.902       29.733   898.5
0.1220        -3016.965    -3047.284       30.319   916.2
0.1230        -3016.733    -3047.289       30.557   923.4
0.1240        -3016.991    -3047.034       30.043   907.9
0.1250        -3016.951    -3046.765       29.814   901.0
0.1260        -3017.080    -3046.670       29.590   894.2
0.1270        -3017.030    -3047.061       30.031   907.5
0.1280        -3017.109    -3047.831       30.721   928.4
0.1290        -3017.546    -3048.830       31.284   945.4
0.1300        -3017.499    -3049.802       32.303   976.2
0.1310        -3017.668    -3050.350       32.681   987.6
0.1320        -3018.387    -3050.513       32.126   970.8
0.1330        -3018.402    -3050.178       31.777   960.3
0.1340        -3018.306    -3049.572       31.266   944.9
0.1350        -3018.140    -3048.853       30.712   928.1
0.1360        -3018.483    -3048.310       29.828   901.4
0.1370        -3018.228    -3048.207       29.980   906.0
0.1380        -3018.528    -3048.571       30.043   907.9
0.1390        -3018.515    -3049.067       30.552   923.3
0.1400        -3018.281    -3049.486       31.204   943.0
0.1410        -3018.292    -3049.657       31.365   947.9
0.1420        -3018.276    -3049.667       31.391   948.6
0.1430        -3018.685    -3049.573       30.888   933.4
0.1440        -3018.782    -3049.356       30.574   924.0
0.1450        -3019.179    -3048.979       29.799   900.5
0.1460        -3019.362    -3048.611       29.250   883.9
0.1470        -3019.074    -3048.345       29.271   884.6
0.1480        -3018.459    -3048.189       29.730   898.4
0.1490        -3018.554    -3048.121       29.567   893.5
