Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1530.263    -1533.783        3.520   283.7
0.0010        -1530.348    -1533.935        3.587   289.1
0.0020        -1530.372    -1534.046        3.674   296.1
0.0030        -1530.366    -1534.113        3.746   301.9
0.0040        -1530.394    -1534.140        3.745   301.8
0.0050        -1530.443    -1534.176        3.732   300.8
0.0060        -1530.347    -1534.252        3.906   314.7
0.0070        -1530.376    -1534.395        4.019   323.9
0.0080        -1530.398    -1534.602        4.204   338.8
0.0090        -1530.391    -1534.827        4.436   357.5
0.0100        -1530.304    -1535.010        4.705   379.2
0.0110        -1530.282    -1535.079        4.797   386.6
0.0120        -1530.237    -1534.995        4.758   383.4
0.0130        -1530.268    -1534.788        4.520   364.3
0.0140        -1530.311    -1534.533        4.222   340.2
0.0150        -1530.355    -1534.320        3.965   319.5
0.0160        -1530.371    -1534.236        3.866   311.5
0.0170        -1530.247    -1534.280        4.033   325.0
0.0180        -1530.271    -1534.429        4.158   335.1
0.0190        -1530.235    -1534.631        4.396   354.2
0.0200        -1530.312    -1534.801        4.489   361.7
0.0210        -1530.328    -1534.870        4.542   366.0
0.0220        -1530.228    -1534.785        4.557   367.2
0.0230        -1530.376    -1534.576        4.201   338.5
0.0240        -1530.367    -1534.299        3.933   316.9
0.0250        -1530.327    -1534.042        3.715   299.4
0.0260        -1530.278    -1533.863        3.586   289.0
0.0270        -1530.268    -1533.774        3.507   282.6
0.0280        -1530.306    -1533.741        3.435   276.8
0.0290        -1530.262    -1533.736        3.475   280.0
0.0300        -1530.265    -1533.733        3.468   279.5
0.0310        -1530.294    -1533.715        3.421   275.7
0.0320        -1530.402    -1533.704        3.301   266.0
0.0330        -1530.424    -1533.690        3.266   263.2
0.0340        -1530.413    -1533.693        3.279   264.3
0.0350        -1530.361    -1533.760        3.399   273.9
0.0360        -1530.278    -1533.913        3.635   292.9
0.0370        -1530.331    -1534.160        3.829   308.6
0.0380        -1530.366    -1534.474        4.108   331.0
0.0390        -1530.363    -1534.803        4.440   357.8
0.0400        -1530.403    -1535.053        4.650   374.7
0.0410        -1530.468    -1535.177        4.709   379.5
0.0420        -1530.436    -1535.163        4.727   380.9
0.0430        -1530.519    -1535.045        4.526   364.7
0.0440        -1530.467    -1534.871        4.405   355.0
0.0450        -1530.474    -1534.695        4.221   340.1
0.0460        -1530.489    -1534.562        4.073   328.2
0.0470        -1530.527    -1534.440        3.913   315.3
0.0480        -1530.593    -1534.349        3.756   302.6
0.0490        -1530.594    -1534.259        3.664   295.3
0.0500        -1530.556    -1534.180        3.623   292.0
0.0510        -1530.528    -1534.114        3.586   289.0
0.0520        -1530.543    -1534.039        3.496   281.7
0.0530        -1530.617    -1533.993        3.376   272.1
0.0540        -1530.452    -1533.992        3.540   285.3
0.0550        -1530.378    -1534.026        3.648   294.0
0.0560        -1530.337    -1534.099        3.762   303.1
0.0570        -1530.256    -1534.173        3.916   315.6
0.0580        -1530.244    -1534.185        3.941   317.6
0.0590        -1530.315    -1534.157        3.842   309.6
0.0600        -1530.310    -1534.135        3.826   308.3
0.0610        -1530.341    -1534.141        3.799   306.2
0.0620        -1530.331    -1534.203        3.871   312.0
0.0630        -1530.300    -1534.332        4.031   324.9
0.0640        -1530.356    -1534.499        4.143   333.9
0.0650        -1530.312    -1534.659        4.347   350.3
0.0660        -1530.425    -1534.715        4.289   345.7
0.0670        -1530.485    -1534.664        4.179   336.8
0.0680        -1530.471    -1534.507        4.036   325.3
0.0690        -1530.398    -1534.295        3.896   314.0
0.0700        -1530.308    -1534.088        3.780   304.6
0.0710        -1530.271    -1533.966        3.695   297.8
0.0720        -1530.361    -1533.966        3.606   290.6
0.0730        -1530.393    -1534.105        3.712   299.2
0.0740        -1530.272    -1534.347        4.075   328.4
0.0750        -1530.242    -1534.596        4.355   350.9
