Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1538.337    -1538.337        0.000     0.0
0.0010        -1538.337    -1538.337        0.000     0.0
0.0020        -1538.337    -1538.337        0.000     0.0
0.0030        -1538.337    -1538.337        0.000     0.0
0.0040        -1538.337    -1538.337        0.000     0.0
0.0050        -1538.337    -1538.337        0.000     0.0
0.0060        -1538.337    -1538.337        0.000     0.0
0.0070        -1538.337    -1538.337        0.000     0.0
0.0080        -1538.337    -1538.337        0.000     0.0
0.0090        -1538.337    -1538.337        0.000     0.0
0.0100        -1538.337    -1538.337        0.000     0.0
0.0110        -1538.337    -1538.337        0.000     0.0
0.0120        -1538.337    -1538.337        0.000     0.0
0.0130        -1538.337    -1538.337        0.000     0.0
0.0140        -1538.337    -1538.337        0.000     0.0
0.0150        -1538.337    -1538.337        0.000     0.0
0.0160        -1538.337    -1538.337        0.000     0.0
0.0170        -1538.337    -1538.337        0.000     0.0
0.0180        -1538.337    -1538.337        0.000     0.0
0.0190        -1538.337    -1538.337        0.000     0.0
0.0200        -1538.337    -1538.337        0.000     0.0
0.0210        -1538.337    -1538.337        0.000     0.0
0.0220        -1538.337    -1538.337        0.000     0.0
0.0230        -1538.337    -1538.337        0.000     0.0
0.0240        -1538.337    -1538.337        0.000     0.0
0.0250        -1538.337    -1538.337        0.000     0.0
0.0260        -1538.337    -1538.337        0.000     0.0
0.0270        -1538.337    -1538.337        0.000     0.0
0.0280        -1538.337    -1538.337        0.000     0.0
0.0290        -1538.337    -1538.337        0.000     0.0
0.0300        -1538.337    -1538.337        0.000     0.0
0.0310        -1538.337    -1538.337        0.000     0.0
0.0320        -1538.337    -1538.337        0.000     0.0
0.0330        -1538.337    -1538.337        0.000     0.0
0.0340        -1538.337    -1538.337        0.000     0.0
0.0350        -1538.337    -1538.337        0.000     0.0
0.0360        -1538.337    -1538.337        0.000     0.0
0.0370        -1538.337    -1538.337        0.000     0.0
0.0380        -1538.337    -1538.337        0.000     0.0
0.0390        -1538.337    -1538.337        0.000     0.0
0.0400        -1538.337    -1538.337        0.000     0.0
0.0410        -1538.337    -1538.337        0.000     0.0
0.0420        -1538.337    -1538.337        0.000     0.0
0.0430        -1538.337    -1538.337        0.000     0.0
0.0440        -1538.337    -1538.337        0.000     0.0
0.0450        -1538.337    -1538.337        0.000     0.0
0.0460        -1538.337    -1538.337        0.000     0.0
0.0470        -1538.337    -1538.337        0.000     0.0
0.0480        -1538.337    -1538.337        0.000     0.0
0.0490        -1538.337    -1538.337        0.000     0.0
0.0500        -1538.337    -1538.337        0.000     0.0
0.0510        -1538.337    -1538.337        0.000     0.0
0.0520        -1538.337    -1538.337        0.000     0.0
0.0530        -1538.337    -1538.337        0.000     0.0
0.0540        -1538.337    -1538.337        0.000     0.0
0.0550        -1538.337    -1538.337        0.000     0.0
0.0560        -1538.337    -1538.337        0.000     0.0
0.0570        -1538.337    -1538.337        0.000     0.0
0.0580        -1538.337    -1538.337        0.000     0.0
0.0590        -1538.337    -1538.337        0.000     0.0
0.0600        -1538.337    -1538.337        0.000     0.0
0.0610        -1538.337    -1538.337        0.000     0.0
0.0620        -1538.337    -1538.337        0.000     0.0
0.0630        -1538.337    -1538.337        0.000     0.0
