Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -3058.403    -3067.566        9.163   276.9
0.0010        -3058.341    -3067.624        9.283   280.5
0.0020        -3058.242    -3067.590        9.349   282.5
0.0030        -3058.324    -3067.567        9.243   279.3
0.0040        -3058.277    -3067.674        9.397   284.0
0.0050        -3058.159    -3068.015        9.856   297.9
0.0060        -3058.177    -3068.578       10.401   314.3
0.0070        -3058.339    -3069.339       10.999   332.4
0.0080        -3058.411    -3070.201       11.790   356.3
0.0090        -3058.445    -3071.024       12.579   380.1
0.0100        -3058.526    -3071.657       13.131   396.8
0.0110        -3058.702    -3071.986       13.284   401.4
0.0120        -3058.742    -3071.951       13.208   399.2
0.0130        -3058.655    -3071.568       12.913   390.2
0.0140        -3058.858    -3070.947       12.089   365.3
0.0150        -3059.100    -3070.255       11.155   337.1
0.0160        -3059.070    -3069.687       10.617   320.9
0.0170        -3059.126    -3069.367       10.241   309.5
0.0180        -3059.204    -3069.375       10.171   307.4
0.0190        -3059.198    -3069.673       10.475   316.6
0.0200        -3059.241    -3070.099       10.858   328.1
0.0210        -3059.298    -3070.431       11.133   336.4
0.0220        -3059.526    -3070.522       10.996   332.3
0.0230        -3059.549    -3070.295       10.746   324.8
0.0240        -3059.542    -3069.807       10.265   310.2
0.0250        -3059.342    -3069.185        9.843   297.4
0.0260        -3059.452    -3068.584        9.132   276.0
0.0270        -3059.336    -3068.135        8.798   265.9
0.0280        -3059.401    -3067.856        8.455   255.5
0.0290        -3059.232    -3067.738        8.506   257.0
0.0300        -3059.279    -3067.671        8.392   253.6
0.0310        -3059.203    -3067.586        8.384   253.4
0.0320        -3059.267    -3067.429        8.162   246.7
0.0330        -3059.207    -3067.226        8.019   242.3
0.0340        -3059.181    -3067.107        7.925   239.5
0.0350        -3059.055    -3067.193        8.138   245.9
0.0360        -3058.951    -3067.605        8.654   261.5
0.0370        -3059.019    -3068.398        9.379   283.4
0.0380        -3059.120    -3069.527       10.407   314.5
0.0390        -3059.011    -3070.788       11.776   355.9
0.0400        -3059.132    -3071.907       12.775   386.1
0.0410        -3059.313    -3072.676       13.363   403.8
0.0420        -3059.481    -3072.968       13.487   407.6
0.0430        -3059.476    -3072.786       13.310   402.2
0.0440        -3059.587    -3072.230       12.644   382.1
0.0450        -3059.511    -3071.482       11.971   361.8
0.0460        -3059.790    -3070.725       10.935   330.4
0.0470        -3059.926    -3070.150       10.224   309.0
0.0480        -3059.910    -3069.778        9.867   298.2
0.0490        -3059.935    -3069.575        9.639   291.3
0.0500        -3059.959    -3069.485        9.526   287.9
0.0510        -3059.936    -3069.408        9.472   286.2
0.0520        -3059.774    -3069.309        9.534   288.1
0.0530        -3059.785    -3069.131        9.346   282.5
0.0540        -3059.852    -3068.923        9.071   274.1
0.0550        -3059.712    -3068.730        9.018   272.5
0.0560        -3059.799    -3068.586        8.788   265.6
0.0570        -3059.859    -3068.542        8.683   262.4
0.0580        -3059.693    -3068.582        8.889   268.6
0.0590        -3059.617    -3068.708        9.090   274.7
0.0600        -3059.550    -3068.889        9.340   282.2
0.0610        -3059.417    -3069.143        9.726   293.9
0.0620        -3059.318    -3069.404       10.086   304.8
0.0630        -3059.406    -3069.592       10.186   307.8
0.0640        -3059.519    -3069.678       10.159   307.0
0.0650        -3059.398    -3069.648       10.249   309.7
